# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,
# Thu Jul 25 08:34:27 2024,,,,,,,,,,,
#,,,,,,,,,,,
# User preference: *,,,,,,,,,,,
#,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,,,,,,,
# COLUMN discoverymethod: Discovery Method,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au],,,,,,,,,,,
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass],,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,
# COLUMN st_lum:         Stellar Luminosity [log(Solar)],,,,,,,,,,,
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,,,,
#,,,,,,,,,,,
pl_name,sy_pnum,discoverymethod,pl_orbsmax,pl_bmasse,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,st_logg,sy_dist
Kepler-207 d,3,Transit,0.065,,0,6080,1.1,1.04,,4.37,875.519
Kepler-207 d,3,Transit,0.0651,,0,6110,1.11,1.06,,4.38,875.519
Kepler-207 d,3,Transit,0.0651,,0,6110,1.11,1.06,,4.38,875.519
Kepler-208 b,4,Transit,,,,6000.9,1.32,1.11,0.309,4.24,775.328
Kepler-208 b,4,Transit,0.0532,,0,6220,1.33,1.12,,4.24,775.328
Kepler-208 b,4,Transit,0.0532,,0,6220,1.33,1.12,,4.24,775.328
Kepler-208 b,4,Transit,0.051,,0,5845,0.97,0.96,,4.45,775.328
Kepler-208 b,4,Transit,,,,6054,1.26,,,,775.328
Kepler-208 b,4,Transit,0.054,,,6092,1.31,,,4.26,775.328
Kepler-208 b,4,Transit,,,,6000.9,1.32,1.11,0.309,4.24,775.328
Kepler-208 b,4,Transit,,,,6000.9,1.32,1.11,0.309,4.24,775.328
Kepler-208 b,4,Transit,,,,5951,1.4,1.16,,4.21,775.328
Kepler-208 b,4,Transit,0.0546,,0,5966,1.5,1.21,,4.17,775.328
Kepler-208 b,4,Transit,0.0532,,0,6220,1.33,1.12,,4.24,775.328
Kepler-208 c,4,Transit,,,,6054,1.26,,,,775.328
Kepler-208 c,4,Transit,,,,5951,1.4,1.16,,4.21,775.328
Kepler-208 c,4,Transit,0.0778,,0,6220,1.33,1.12,,4.24,775.328
Kepler-208 c,4,Transit,0.0797,,0,5966,1.5,1.21,,4.17,775.328
Kepler-208 c,4,Transit,0.079,,,6092,1.31,,,4.26,775.328
Kepler-208 c,4,Transit,0.074,,0,5845,0.97,0.96,,4.45,775.328
Kepler-208 c,4,Transit,,,,6000.9,1.32,1.11,0.309,4.24,775.328
Kepler-208 c,4,Transit,,,,6000.9,1.32,1.11,0.309,4.24,775.328
Kepler-208 c,4,Transit,,,,6000.9,1.32,1.11,0.309,4.24,775.328
Kepler-208 c,4,Transit,0.0778,,0,6220,1.33,1.12,,4.24,775.328
Kepler-208 c,4,Transit,0.0778,,0,6220,1.33,1.12,,4.24,775.328
Kepler-208 d,4,Transit,0.1015,,0,6220,1.33,1.12,,4.24,775.328
Kepler-208 d,4,Transit,,,,6000.9,1.32,1.11,0.309,4.24,775.328
Kepler-208 d,4,Transit,,,,6000.9,1.32,1.11,0.309,4.24,775.328
Kepler-208 d,4,Transit,,,,6054,1.26,,,,775.328
Kepler-208 d,4,Transit,0.1015,,0,6220,1.33,1.12,,4.24,775.328
Kepler-208 d,4,Transit,,,,5951,1.4,1.16,,4.21,775.328
Kepler-208 d,4,Transit,0.1015,,0,6220,1.33,1.12,,4.24,775.328
Kepler-208 d,4,Transit,0.103,,,6092,1.31,,,4.26,775.328
Kepler-208 d,4,Transit,0.096,,0,5845,0.97,0.96,,4.45,775.328
Kepler-208 d,4,Transit,0.104,,0,5966,1.5,1.21,,4.17,775.328
Kepler-208 e,4,Transit,0.1306,,0,6220,1.33,1.12,,4.24,775.328
Kepler-208 e,4,Transit,0.132,,,6092,1.31,,,4.26,775.328
Kepler-208 e,4,Transit,0.124,,0,5845,0.97,0.96,,4.45,775.328
Kepler-208 e,4,Transit,0.1306,,0,6220,1.33,1.12,,4.24,775.328
Kepler-208 e,4,Transit,0.1339,,0,5966,1.5,1.21,,4.17,775.328
Kepler-208 e,4,Transit,0.1306,,0,6220,1.33,1.12,,4.24,775.328
Kepler-208 e,4,Transit,,,,6054,1.26,,,,775.328
Kepler-208 e,4,Transit,,,,6000.9,1.32,1.11,0.309,4.24,775.328
Kepler-208 e,4,Transit,,,,5951,1.4,1.16,,4.21,775.328
Kepler-208 e,4,Transit,,,,6000.9,1.32,1.11,0.309,4.24,775.328
Kepler-208 e,4,Transit,,,,6000.9,1.32,1.11,0.309,4.24,775.328
Kepler-209 b,2,Transit,0.1207,,0,5506,0.91,0.9,,4.47,576.946
Kepler-209 b,2,Transit,,,,5562,0.92,0.95,,4.5,576.946
Kepler-209 b,2,Transit,0.1194,,0,5514,1.04,0.88,,4.34,576.946
Kepler-209 b,2,Transit,,,,5463.31,0.96,0.96,-0.129,4.45,576.946
Kepler-209 b,2,Transit,,,,5463.31,0.96,0.96,-0.129,4.45,576.946
Kepler-209 b,2,Transit,0.1194,,0,5514,1.04,0.88,,4.34,576.946
Kepler-209 b,2,Transit,0.122,,,5513,0.94,,,4.47,576.946
Kepler-209 b,2,Transit,0.1194,,0,5514,1.04,0.88,,4.34,576.946
Kepler-209 b,2,Transit,,,,5564,0.91,,,,576.946
Kepler-209 b,2,Transit,,,,5463.31,0.96,0.96,-0.129,4.45,576.946
Kepler-209 b,2,Transit,0.122,,0,5524,1,0.93,,4.41,576.946
Kepler-209 c,2,Transit,0.23,,0,5524,1,0.93,,4.41,576.946
Kepler-209 c,2,Transit,,,,5463.31,0.96,0.96,-0.129,4.45,576.946
Kepler-209 c,2,Transit,,,,5463.31,0.96,0.96,-0.129,4.45,576.946
Kepler-209 c,2,Transit,0.228,,0,5506,0.91,0.9,,4.47,576.946
Kepler-209 c,2,Transit,,,,5564,0.91,,,,576.946
Kepler-209 c,2,Transit,0.231,,,5513,0.94,,,4.47,576.946
Kepler-209 c,2,Transit,,,,5463.31,0.96,0.96,-0.129,4.45,576.946
Kepler-209 c,2,Transit,0.2255,,0,5514,1.04,0.88,,4.34,576.946
Kepler-209 c,2,Transit,,,,5562,0.92,0.95,,4.5,576.946
Kepler-209 c,2,Transit,0.2255,,0,5514,1.04,0.88,,4.34,576.946
Kepler-209 c,2,Transit,0.2255,,0,5514,1.04,0.88,,4.34,576.946
Kepler-21 b,1,Transit,0.0427,,0,6131,1.86,1.34,,4.03,108.522
Kepler-21 b,1,Transit,,,,6162,1.79,1.24,,4.03,108.522
Kepler-21 b,1,Transit,0.042507,10.4,0,6131,1.86,1.34,,4.02,108.522
Kepler-21 b,1,Transit,0.0408,,0,6202,1.73,1.16,,4.03,108.522
Kepler-21 b,1,Transit,0.043,,0,6131,2.04,1.36,,3.95,108.522
Kepler-21 b,1,Transit,,,,6202,1.95,,,,108.522
Kepler-21 b,1,Transit,0.042717,5.08,0.02,6305,1.9,1.41,0.715,4.03,108.522
Kepler-21 b,1,Transit,0.0427,,0,6131,1.86,1.34,,4.03,108.522
Kepler-21 b,1,Transit,,,,6248.42,1.91,1.21,0.699,3.96,108.522
Kepler-21 b,1,Transit,,,,6248.42,1.91,1.21,0.699,3.96,108.522
Kepler-21 b,1,Transit,0.0434,7.5,0,6305,1.9,1.41,,,108.522
Kepler-21 b,1,Transit,0.0427,,0,6131,1.86,1.34,,4.03,108.522
Kepler-210 b,2,Transit,0.0292,,0,3914,0.53,0.55,,4.73,232.75
Kepler-210 b,2,Transit,,,,4564.61,0.64,0.72,-0.799,4.69,232.75
Kepler-210 b,2,Transit,0.03,,0,4367,0.57,0.61,,4.71,232.75
Kepler-210 b,2,Transit,0.0293,,0,3912,0.53,0.56,,4.73,232.75
Kepler-210 b,2,Transit,,,,4564.61,0.64,0.72,-0.799,4.69,232.75
Kepler-210 b,2,Transit,0.0292,,,3914,0.53,0.55,,,232.75
Kepler-210 b,2,Transit,,,,3914,0.71,,,,232.75
Kepler-210 b,2,Transit,,,,4300,0.69,0.63,,4.55,232.75
Kepler-210 b,2,Transit,0.0292,,0,3914,0.53,0.55,,4.73,232.75
Kepler-210 b,2,Transit,,,,4588,0.7,0.77,,4.63,232.75
Kepler-210 b,2,Transit,0.0292,,0,3914,0.53,0.55,,4.73,232.75
Kepler-210 b,2,Transit,0.032,,,4559,0.65,,,4.66,232.75
Kepler-210 b,2,Transit,,,,4564.61,0.64,0.72,-0.799,4.69,232.75
Kepler-210 c,2,Transit,0.0642,,0,3912,0.53,0.56,,4.73,232.75
Kepler-210 c,2,Transit,,,,4300,0.69,0.63,,4.55,232.75
Kepler-210 c,2,Transit,,,,4564.61,0.64,0.72,-0.799,4.69,232.75
Kepler-210 c,2,Transit,0.064,,0,3914,0.53,0.55,,4.73,232.75
Kepler-210 c,2,Transit,0.066,,0,4367,0.57,0.61,,4.71,232.75
Kepler-210 c,2,Transit,0.06406,,,3914,0.53,0.55,,,232.75
Kepler-210 c,2,Transit,0.07,,,4559,0.65,,,4.66,232.75
Kepler-210 c,2,Transit,,,,4564.61,0.64,,,4.69,232.75
Kepler-210 c,2,Transit,0.064,,0,3914,0.53,0.55,,4.73,232.75
Kepler-210 c,2,Transit,,,,4564.61,0.64,0.72,-0.799,4.69,232.75
Kepler-210 c,2,Transit,,,,4588,0.7,0.77,,4.63,232.75
Kepler-210 c,2,Transit,,,,4564.61,0.64,0.72,-0.799,4.69,232.75
Kepler-210 c,2,Transit,0.064,,0,3914,0.53,0.55,,4.73,232.75
Kepler-210 c,2,Transit,,,,3914,0.71,,,,232.75
Kepler-211 b,2,Transit,0.0494,,0,5297,0.82,0.94,,4.58,309.353
Kepler-211 b,2,Transit,,,,,1.56,0.93,,,309.353
Kepler-211 b,2,Transit,0.0493,,0,5244,1.56,0.93,,4.02,309.353
Kepler-211 b,2,Transit,0.0493,,0,5244,1.56,0.93,,4.02,309.353
Kepler-211 b,2,Transit,,,,5286.58,0.74,0.91,-0.413,4.66,309.353
Kepler-211 b,2,Transit,,,,5286.58,0.74,0.91,-0.413,4.66,309.353
Kepler-211 b,2,Transit,,,,5194,0.77,,,,309.353
Kepler-211 b,2,Transit,0.048,,,5123,0.82,,,4.55,309.353
Kepler-211 b,2,Transit,,,,5286.58,0.74,0.91,-0.413,4.66,309.353
Kepler-211 b,2,Transit,0.0493,,0,5244,1.56,0.93,,4.02,309.353
Kepler-211 b,2,Transit,,,,5224,0.81,0.9,,4.58,309.353
Kepler-211 b,2,Transit,0.049,,0,5174,1.75,0.91,,3.91,309.353
Kepler-211 c,2,Transit,0.0634,,0,5244,1.56,0.93,,4.02,309.353
Kepler-211 c,2,Transit,0.063,,0,5174,1.75,0.91,,3.91,309.353
Kepler-211 c,2,Transit,0.0634,,0,5244,1.56,0.93,,4.02,309.353
Kepler-211 c,2,Transit,,,,5224,0.81,0.9,,4.58,309.353
Kepler-211 c,2,Transit,,,,5286.58,0.74,0.91,-0.413,4.66,309.353
Kepler-211 c,2,Transit,0.0636,,0,5297,0.82,0.94,,4.58,309.353
Kepler-211 c,2,Transit,,,,5286.58,0.74,0.91,-0.413,4.66,309.353
Kepler-211 c,2,Transit,,18.3,,,1.56,0.93,,,309.353
Kepler-211 c,2,Transit,,,,5194,0.77,,,,309.353
Kepler-211 c,2,Transit,0.062,,,5123,0.82,,,4.55,309.353
Kepler-211 c,2,Transit,,,,5286.58,0.74,0.91,-0.413,4.66,309.353
Kepler-211 c,2,Transit,0.0634,,0,5244,1.56,0.93,,4.02,309.353
Kepler-212 b,2,Transit,0.1317,,0,5867,1.36,1.15,,4.24,687.194
Kepler-212 b,2,Transit,0.1313,,0,5914,1.14,1.14,,4.38,687.194
Kepler-212 b,2,Transit,,,,5866,1.28,1.09,,4.26,687.194
Kepler-212 b,2,Transit,0.133,,,5852,1.46,,,4.18,687.194
Kepler-212 b,2,Transit,,,,5881.14,1.5,1.07,0.383,4.12,687.194
Kepler-212 b,2,Transit,0.1313,,0,5914,1.14,1.14,,4.38,687.194
Kepler-212 b,2,Transit,,,,5880,1.47,,,,687.194
Kepler-212 b,2,Transit,0.1313,,0,5914,1.14,1.14,,4.38,687.194
Kepler-212 b,2,Transit,,,,5881.14,1.5,1.07,0.383,4.12,687.194
Kepler-212 b,2,Transit,0.132,,0,5913,1.16,1.17,,4.37,687.194
Kepler-212 c,2,Transit,0.207,,,5852,1.46,,,4.18,687.194
Kepler-212 c,2,Transit,0.2053,,0,5914,1.14,1.14,,4.38,687.194
Kepler-212 c,2,Transit,0.2053,,0,5914,1.14,1.14,,4.38,687.194
Kepler-212 c,2,Transit,,,,5881.14,1.5,1.07,0.383,4.12,687.194
Kepler-212 c,2,Transit,,,,5880,1.47,,,,687.194
Kepler-212 c,2,Transit,0.2053,,0,5914,1.14,1.14,,4.38,687.194
Kepler-212 c,2,Transit,0.207,,0,5913,1.16,1.17,,4.37,687.194
Kepler-212 c,2,Transit,0.2061,,0,5867,1.36,1.15,,4.24,687.194
Kepler-212 c,2,Transit,,,,5866,1.28,1.09,,4.26,687.194
Kepler-212 c,2,Transit,,,,5881.14,1.5,1.07,0.383,4.12,687.194
Kepler-212 c,2,Transit,,,,5881.14,1.5,1.07,0.383,4.12,687.194
Kepler-213 b,2,Transit,0.0356,,0,5822,0.9,0.99,,4.53,634.939
Kepler-213 b,2,Transit,0.035,,0,5806,0.87,0.98,,4.55,634.939
Kepler-213 b,2,Transit,,,,5712,1.12,1.02,0.082,4.35,634.939
Kepler-213 b,2,Transit,0.0367,,0,5736,1.01,1.09,,4.47,634.939
Kepler-213 b,2,Transit,0.0356,,0,5822,0.9,0.99,,4.53,634.939
Kepler-213 b,2,Transit,0.0356,,0,5822,0.9,0.99,,4.53,634.939
Kepler-213 b,2,Transit,,,,5712,1.12,1.02,0.082,4.35,634.939
Kepler-213 b,2,Transit,,,,5744,1,1.07,,4.47,634.939
Kepler-213 b,2,Transit,,,,5658,1.1,,,,634.939
Kepler-213 b,2,Transit,0.036,,,5696,1.2,,,4.31,634.939
Kepler-213 c,2,Transit,0.0558,,0,5822,0.9,0.99,,4.53,634.939
Kepler-213 c,2,Transit,0.0558,,0,5822,0.9,0.99,,4.53,634.939
Kepler-213 c,2,Transit,,,,5658,1.1,,,,634.939
Kepler-213 c,2,Transit,0.057,,,5696,1.2,,,4.31,634.939
Kepler-213 c,2,Transit,,,,5712,1.12,1.02,0.082,4.35,634.939
Kepler-213 c,2,Transit,0.055,,0,5806,0.87,0.98,,4.55,634.939
Kepler-213 c,2,Transit,0.0575,,0,5736,1.01,1.09,,4.47,634.939
Kepler-213 c,2,Transit,,,,5744,1,1.07,,4.47,634.939
Kepler-213 c,2,Transit,0.0558,,0,5822,0.9,0.99,,4.53,634.939
Kepler-214 b,2,Transit,0.1273,,0,6000,1.04,1.12,,4.45,1208.44
Kepler-214 b,2,Transit,,,,6036.57,1.65,1.12,0.511,4.05,1208.44
Kepler-214 b,2,Transit,,,,6032,1.07,1.11,,4.43,1208.44
Kepler-214 b,2,Transit,,,,6036.57,1.65,1.12,0.511,4.05,1208.44
Kepler-214 b,2,Transit,0.1242,,0,6332,0.98,1.04,,4.47,1208.44
Kepler-214 b,2,Transit,0.13,,,6169,1.35,,,4.25,1208.44
Kepler-214 b,2,Transit,0.128,,0,6352,1.07,1.15,,4.44,1208.44
Kepler-214 b,2,Transit,,,,6052,1.63,,,,1208.44
Kepler-214 b,2,Transit,,,,6036.57,1.65,1.12,0.511,4.05,1208.44
Kepler-214 b,2,Transit,0.1242,,0,6332,0.98,1.04,,4.47,1208.44
Kepler-214 b,2,Transit,0.1242,,0,6332,0.98,1.04,,4.47,1208.44
Kepler-214 c,2,Transit,0.1864,,0,6332,0.98,1.04,,4.47,1208.44
Kepler-214 c,2,Transit,,,,6036.57,1.65,1.12,0.511,4.05,1208.44
Kepler-214 c,2,Transit,,,,6036.57,1.65,1.12,0.511,4.05,1208.44
Kepler-214 c,2,Transit,,,,6036.57,1.65,1.12,0.511,4.05,1208.44
Kepler-214 c,2,Transit,0.193,,0,6352,1.07,1.15,,4.44,1208.44
Kepler-214 c,2,Transit,0.191,,0,6000,1.04,1.12,,4.45,1208.44
Kepler-214 c,2,Transit,0.194,,,6169,1.35,,,4.25,1208.44
Kepler-214 c,2,Transit,,,,6052,1.63,,,,1208.44
Kepler-214 c,2,Transit,0.1864,,0,6332,0.98,1.04,,4.47,1208.44
Kepler-214 c,2,Transit,0.1864,,0,6332,0.98,1.04,,4.47,1208.44
Kepler-214 c,2,Transit,,,,6032,1.07,1.11,,4.43,1208.44
Kepler-215 b,4,Transit,,,,5679,0.85,0.94,,4.54,485.997
Kepler-215 b,4,Transit,,,,5697.97,0.9,1.01,-0.117,4.54,485.997
Kepler-215 b,4,Transit,,,,5697.97,0.9,1.01,-0.117,4.54,485.997
Kepler-215 b,4,Transit,0.086,,0,5922,1.07,0.98,,4.37,485.997
Kepler-215 b,4,Transit,,,,5697.97,0.9,1.01,-0.117,4.54,485.997
Kepler-215 b,4,Transit,0.0812,,0,5741,1.01,0.81,,4.34,485.997
Kepler-215 b,4,Transit,0.084,,,5739,1.03,,,4.36,485.997
Kepler-215 b,4,Transit,0.0812,,0,5741,1.01,0.81,,4.34,485.997
Kepler-215 b,4,Transit,0.0812,,0,5741,1.01,0.81,,4.34,485.997
Kepler-215 b,4,Transit,,,,5648,0.91,,,,485.997
Kepler-215 b,4,Transit,0.0844,,0,5677,0.83,0.92,,4.56,485.997
Kepler-215 c,4,Transit,0.1095,,0,5741,1.01,0.81,,4.34,485.997
Kepler-215 c,4,Transit,,,,5697.97,0.9,1.01,-0.117,4.54,485.997
Kepler-215 c,4,Transit,0.113,,,5739,1.03,,,4.36,485.997
Kepler-215 c,4,Transit,0.1095,,0,5741,1.01,0.81,,4.34,485.997
Kepler-215 c,4,Transit,,,,,1.01,0.81,,,485.997
Kepler-215 c,4,Transit,0.1095,,0,5741,1.01,0.81,,4.34,485.997
Kepler-215 c,4,Transit,0.1139,,0,5677,0.83,0.92,,4.56,485.997
Kepler-215 c,4,Transit,0.116,,0,5922,1.07,0.98,,4.37,485.997
Kepler-215 c,4,Transit,,,,5697.97,0.9,1.01,-0.117,4.54,485.997
Kepler-215 c,4,Transit,,,,5679,0.85,0.94,,4.54,485.997
Kepler-215 c,4,Transit,,,,5697.97,0.9,1.01,-0.117,4.54,485.997
Kepler-215 c,4,Transit,,,,5648,0.91,,,,485.997
Kepler-215 d,4,Transit,,,,5697.97,0.9,1.01,-0.117,4.54,485.997
Kepler-215 d,4,Transit,0.1798,,0,5741,1.01,0.81,,4.34,485.997
Kepler-215 d,4,Transit,,,,5648,0.91,,,,485.997
Kepler-215 d,4,Transit,0.1798,,0,5741,1.01,0.81,,4.34,485.997
Kepler-215 d,4,Transit,,,,5679,0.85,0.94,,4.54,485.997
Kepler-215 d,4,Transit,0.1798,,0,5741,1.01,0.81,,4.34,485.997
Kepler-215 d,4,Transit,0.187,,0,5677,0.83,0.92,,4.56,485.997
Kepler-215 d,4,Transit,0.191,,0,5922,1.07,0.98,,4.37,485.997
Kepler-215 d,4,Transit,,,,5697.97,0.9,1.01,-0.117,4.54,485.997
Kepler-215 d,4,Transit,0.185,,,5739,1.03,,,4.36,485.997
Kepler-215 d,4,Transit,,23.6,,,1.01,0.81,,,485.997
Kepler-215 d,4,Transit,,,,5697.97,0.9,1.01,-0.117,4.54,485.997
Kepler-215 e,4,Transit,0.3171,,0,5677,0.83,0.92,,4.56,485.997
Kepler-215 e,4,Transit,,,,5648,0.91,,,,485.997
Kepler-215 e,4,Transit,,,,5697.97,0.9,1.01,-0.117,4.54,485.997
Kepler-215 e,4,Transit,0.3049,,0,5741,1.01,0.81,,4.34,485.997
Kepler-215 e,4,Transit,,,,5679,0.85,0.94,,4.54,485.997
Kepler-215 e,4,Transit,0.3049,,0,5741,1.01,0.81,,4.34,485.997
Kepler-215 e,4,Transit,,,,5697.97,0.9,1.01,-0.117,4.54,485.997
Kepler-215 e,4,Transit,0.3049,,0,5741,1.01,0.81,,4.34,485.997
Kepler-215 e,4,Transit,0.324,,0,5922,1.07,0.98,,4.37,485.997
Kepler-215 e,4,Transit,,,,5697.97,0.9,1.01,-0.117,4.54,485.997
Kepler-215 e,4,Transit,0.314,,,5739,1.03,,,4.36,485.997
Kepler-216 b,2,Transit,0.0785,,0,6277,1.03,1.08,,4.45,1187.47
Kepler-216 b,2,Transit,0.079,,0,6278,1.05,1.13,,4.45,1187.47
Kepler-216 b,2,Transit,0.079,,,6091,1.26,,,4.28,1187.47
Kepler-216 b,2,Transit,0.0785,,0,6277,1.03,1.08,,4.45,1187.47
Kepler-216 b,2,Transit,0.0767,,0,6086,1.22,1.01,,4.27,1187.47
Kepler-216 b,2,Transit,,,,6119,1.59,,,,1187.47
Kepler-216 b,2,Transit,,,,6142,1.2,1.11,,4.33,1187.47
Kepler-216 b,2,Transit,,,,6093.45,1.63,1.14,0.518,4.07,1187.47
Kepler-216 b,2,Transit,,,,6093.45,1.63,1.14,0.518,4.07,1187.47
Kepler-216 b,2,Transit,0.0785,,0,6277,1.03,1.08,,4.45,1187.47
Kepler-216 b,2,Transit,,,,6093.45,1.63,1.14,0.518,4.07,1187.47
Kepler-216 c,2,Transit,0.1354,,0,6277,1.03,1.08,,4.45,1187.47
Kepler-216 c,2,Transit,0.137,,0,6278,1.05,1.13,,4.45,1187.47
Kepler-216 c,2,Transit,,,,6093.45,1.63,1.14,0.518,4.07,1187.47
Kepler-216 c,2,Transit,0.1354,,0,6277,1.03,1.08,,4.45,1187.47
Kepler-216 c,2,Transit,,,,6093.45,1.63,1.14,0.518,4.07,1187.47
Kepler-216 c,2,Transit,0.1321,,0,6086,1.22,1.01,,4.27,1187.47
Kepler-216 c,2,Transit,,,,6142,1.2,1.11,,4.33,1187.47
Kepler-216 c,2,Transit,0.136,,,6091,1.26,,,4.28,1187.47
Kepler-216 c,2,Transit,,,,6119,1.59,,,,1187.47
Kepler-216 c,2,Transit,0.1354,,0,6277,1.03,1.08,,4.45,1187.47
Kepler-216 c,2,Transit,,,,6093.45,1.63,1.14,0.518,4.07,1187.47
Kepler-217 b,3,Transit,0.0676,,0,6765,1.44,1.43,,4.28,1104.64
Kepler-217 b,3,Transit,0.0676,,0,6765,1.44,1.43,,4.28,1104.64
Kepler-217 b,3,Transit,0.065,,,6171,1.8,,,4.03,1104.64
Kepler-217 b,3,Transit,,,,6658.99,1.79,1.4,0.754,4.08,1104.64
Kepler-217 b,3,Transit,,,,6658.99,1.79,1.4,0.754,4.08,1104.64
Kepler-217 b,3,Transit,,,,6341,1.76,1.37,,4.08,1104.64
Kepler-217 b,3,Transit,0.0626,,0,6167,1.69,1.14,,4.04,1104.64
Kepler-217 b,3,Transit,,,,6658.99,1.79,1.4,0.754,4.08,1104.64
Kepler-217 b,3,Transit,0.067,,0,6653,1.36,1.38,,4.31,1104.64
Kepler-217 b,3,Transit,0.0676,,0,6765,1.44,1.43,,4.28,1104.64
Kepler-217 b,3,Transit,,,,6554,1.8,,,,1104.64
Kepler-217 c,3,Transit,,,,6658.99,1.79,1.4,0.754,4.08,1104.64
Kepler-217 c,3,Transit,,,,6658.99,1.79,1.4,0.754,4.08,1104.64
Kepler-217 c,3,Transit,0.0856,,0,6167,1.69,1.14,,4.04,1104.64
Kepler-217 c,3,Transit,,,,6658.99,1.79,1.4,0.754,4.08,1104.64
Kepler-217 c,3,Transit,0.0924,,0,6765,1.44,1.43,,4.28,1104.64
Kepler-217 c,3,Transit,0.089,,,6171,1.8,,,4.03,1104.64
Kepler-217 c,3,Transit,0.0924,,0,6765,1.44,1.43,,4.28,1104.64
Kepler-217 c,3,Transit,0.0924,,0,6765,1.44,1.43,,4.28,1104.64
Kepler-217 c,3,Transit,,,,6554,1.8,,,,1104.64
Kepler-217 c,3,Transit,,,,6341,1.76,1.37,,4.08,1104.64
Kepler-217 c,3,Transit,0.091,,0,6653,1.36,1.38,,4.31,1104.64
Kepler-217 d,3,Transit,,,,6554,1.8,,,,1104.64
Kepler-217 d,3,Transit,0.0545,,0,6765,1.44,1.43,,4.28,1104.64
Kepler-217 d,3,Transit,,,,6341,1.76,1.37,,4.08,1104.64
Kepler-217 d,3,Transit,0.054,,0,6653,1.36,1.38,,4.31,1104.64
Kepler-217 d,3,Transit,,,,6658.99,1.79,1.4,0.754,4.08,1104.64
Kepler-217 d,3,Transit,0.0545,,0,6765,1.44,1.43,,4.28,1104.64
Kepler-217 d,3,Transit,,,,6658.99,1.79,1.4,0.754,4.08,1104.64
Kepler-217 d,3,Transit,0.0545,,0,6765,1.44,1.43,,4.28,1104.64
Kepler-217 d,3,Transit,0.0505,,0,6167,1.69,1.14,,4.04,1104.64
Kepler-218 b,3,Transit,,,,5502,1.11,0.97,0.009,4.33,656.38
Kepler-218 b,3,Transit,0.0459,,0,5497,1.05,0.98,,4.39,656.38
Kepler-218 b,3,Transit,0.046,,0,5497,1.05,0.99,,4.39,656.38
Kepler-218 b,3,Transit,0.0459,,0,5497,1.05,0.98,,4.39,656.38
Kepler-218 b,3,Transit,,,,5542,1.02,1.01,,4.42,656.38
Kepler-218 b,3,Transit,0.046,,0,5502,1.06,1.02,,4.4,656.38
Kepler-218 b,3,Transit,,,,5502,1.11,0.97,0.009,4.33,656.38
Kepler-218 b,3,Transit,,,,5502,1.11,0.97,0.009,4.33,656.38
Kepler-218 b,3,Transit,,,,5594,1.05,,,,656.38
Kepler-218 b,3,Transit,0.0459,,0,5497,1.05,0.98,,4.39,656.38
Kepler-218 b,3,Transit,0.046,,,5502,1.06,,,4.39,656.38
Kepler-218 c,3,Transit,,,,5502,1.11,0.97,0.009,4.33,656.38
Kepler-218 c,3,Transit,0.2451,,0,5497,1.05,0.98,,4.39,656.38
Kepler-218 c,3,Transit,0.2451,,0,5497,1.05,0.98,,4.39,656.38
Kepler-218 c,3,Transit,,,,5594,1.05,,,,656.38
Kepler-218 c,3,Transit,0.2457,,0,5497,1.05,0.99,,4.39,656.38
Kepler-218 c,3,Transit,0.248,,,5502,1.06,,,4.39,656.38
Kepler-218 c,3,Transit,0.248,,0,5502,1.06,1.02,,4.4,656.38
Kepler-218 c,3,Transit,0.2451,,0,5497,1.05,0.98,,4.39,656.38
Kepler-218 c,3,Transit,,,,5502,1.11,0.97,0.009,4.33,656.38
Kepler-218 c,3,Transit,,,,5542,1.02,1.01,,4.42,656.38
Kepler-218 d,3,Transit,,,,5502,1.11,0.97,0.009,4.33,656.38
Kepler-218 d,3,Transit,0.4865,,0,5497,1.05,0.99,,4.39,656.38
Kepler-218 d,3,Transit,0.4853,,0,5497,1.05,0.98,,4.39,656.38
Kepler-218 d,3,Transit,0.491,,0,5502,1.06,1.02,,4.4,656.38
Kepler-218 d,3,Transit,,,,5502,1.11,0.97,0.009,4.33,656.38
Kepler-218 d,3,Transit,,,,5594,1.05,,,,656.38
Kepler-218 d,3,Transit,,,,5542,1.02,1.01,,4.42,656.38
Kepler-218 d,3,Transit,0.4853,,0,5497,1.05,0.98,,4.39,656.38
Kepler-218 d,3,Transit,,,,5502,1.11,0.97,0.009,4.33,656.38
Kepler-218 d,3,Transit,0.4853,,0,5497,1.05,0.98,,4.39,656.38
Kepler-219 b,3,Transit,,,,5766.61,1.28,1.03,0.214,4.24,787.07
